accession,WT_1,WT_2,WT_3
LOC_Os08g06790,1,1,0
LOC_Os07g45370,17,20,13
LOC_Os03g05910,81,48,63
LOC_Os05g47650,76,14,19
LOC_Os05g02190,356,254,290
LOC_Os03g20180,503,560,606
LOC_Os05g23194,6,0,2
LOC_Os07g49330,2814,2238,1776
LOC_Os06g35060,10,4,3
LOC_Os08g37350,876,764,826
LOC_Os06g03520,51,55,95
LOC_Os01g42320,0,0,0
LOC_Os04g34900,0,0,0
LOC_Os02g30714,7,5,8
LOC_Os04g47360,1910,3092,6345
LOC_Os04g51172,4,0,7
LOC_Os06g43000,0,0,0
LOC_Os07g08669,494,394,449
LOC_Os02g05000,121,114,120
LOC_Os01g53000,1331,1011,1318
LOC_Os08g31000,19,25,16
LOC_Os05g44110,10,9,7
LOC_Os02g24636,1504,887,2422
LOC_Os03g06990,0,0,0
LOC_Os11g32490,7,8,10
LOC_Os06g36160,913,881,962
LOC_Os12g27370,5137,5283,5168
LOC_Os11g25110,2,5,5
LOC_Os02g15740,3,4,7
LOC_Os01g70890,0,1,0
LOC_Os04g41500,807,980,1256
LOC_Os07g02150,22,28,30
LOC_Os12g11330,0,1,0
LOC_Os02g52150,45,76,225
LOC_Os07g42324,176,121,188
LOC_Os04g42030,651,704,770
LOC_Os01g14910,0,1,2
LOC_Os12g22030,1211,916,997
LOC_Os08g01300,99,86,67
LOC_Os01g46690,2,0,1
LOC_Os08g31550,0,0,1
LOC_Os03g38510,13,7,8
LOC_Os03g02900,24,25,26
LOC_Os01g62090,27,26,34
LOC_Os07g02624,0,0,0
LOC_Os08g44280,675,620,719
LOC_Os02g15120,220,168,228
LOC_Os04g56350,490,456,616
LOC_Os04g58580,268,320,253
LOC_Os03g61780,68,75,65
LOC_Os05g08920,83,105,118
LOC_Os01g67350,2,0,0
LOC_Os11g30810,0,0,4
LOC_Os12g32660,423,353,320
LOC_Os05g41130,450,396,439
LOC_Os01g25270,20,33,15
LOC_Os08g37610,2022,1956,1985
LOC_Os03g10670,3,0,0
LOC_Os11g14620,42,34,53
LOC_Os03g42730,56,28,25
LOC_Os03g46040,2,1,3
LOC_Os08g09240,2308,2020,1999
LOC_Os05g09620,1622,1419,1457
LOC_Os02g06380,33,29,53
LOC_Os11g10310,2381,2240,2469
LOC_Os08g35430,1,1,0
LOC_Os03g02610,13,9,16
LOC_Os12g18010,3,0,0
LOC_Os08g24790,0,0,0
LOC_Os03g44580,298,281,257
LOC_Os11g42790,425,422,483
LOC_Os07g04180,2264,1985,1704
LOC_Os06g37700,0,0,0
LOC_Os01g08380,1,0,0
LOC_Os06g47480,2,0,0
LOC_Os06g02380,9074,10467,8002
LOC_Os10g03960,0,4,3
LOC_Os01g72960,290,242,325
LOC_Os12g39100,11,17,21
LOC_Os03g38400,1,0,0
LOC_Os10g02284,0,0,0
LOC_Os06g09660,83,59,76
LOC_Os02g56180,520,421,506
LOC_Os08g19830,1883,1557,1689
LOC_Os07g17410,1,0,0
LOC_Os01g72630,0,1,0
LOC_Os03g41460,152,121,167
LOC_Os04g33310,389,252,469
LOC_Os04g34100,822,665,741
LOC_Os09g20360,0,0,0
LOC_Os07g39510,106,88,101
LOC_Os04g56405,185,163,177
LOC_Os03g45779,854,773,744
LOC_Os06g48630,4,0,6
LOC_Os01g72080,320,245,628
LOC_Os08g16940,11,16,20
LOC_Os09g32500,194,182,204
LOC_Os08g15040,703,555,658
LOC_Os03g31180,318,257,331
LOC_Os01g07980,4,9,9
LOC_Os02g15550,1682,1457,1564
LOC_Os02g35770,221,192,230
LOC_Os09g29780,170,130,149
LOC_Os05g06710,94,94,106
LOC_Os07g37045,0,0,0
LOC_Os09g20980,13,3,6
LOC_Os11g09375,1,4,2
LOC_Os02g57560,37,28,53
LOC_Os02g58330,22,17,25
LOC_Os02g05500,564,419,482
LOC_Os06g02350,0,0,0
LOC_Os06g38040,1,1,0
LOC_Os02g22370,908,820,817
LOC_Os01g58035,0,0,0
LOC_Os09g17100,61,76,59
LOC_Os03g50580,0,0,0
LOC_Os11g42240,2,2,4
LOC_Os01g20730,7,0,2
LOC_Os03g35990,1,1,2
LOC_Os06g45300,948,826,1146
LOC_Os10g21406,2300,1551,1774
LOC_Os03g10970,7,1,2
LOC_Os06g11890,0,0,0
LOC_Os03g21130,0,0,1
LOC_Os02g32770,0,0,0
LOC_Os02g11910,0,0,0
LOC_Os11g08889,0,2,0
LOC_Os02g47930,27,29,38
LOC_Os05g25480,28,14,31
LOC_Os07g07000,621,625,617
LOC_Os07g07440,0,0,0
LOC_Os12g42900,3,1,8
LOC_Os05g39800,620,352,446
LOC_Os01g38990,88,97,136
LOC_Os09g35970,3048,3163,3512
LOC_Os07g42632,317,358,321
LOC_Os12g13390,527,430,343
LOC_Os03g05390,6782,6163,8364
LOC_Os05g34790,5,10,10
LOC_Os01g01620,1245,829,1276
LOC_Os12g35620,349,337,303
LOC_Os03g61550,1,0,0
LOC_Os09g32030,2094,2222,2316
LOC_Os01g65660,712,341,474
LOC_Os12g21784,1120,1421,1128
LOC_Os07g02500,0,6,1
LOC_Os06g29590,0,1,0
LOC_Os11g27120,8,10,7
LOC_Os05g22630,0,1,1
LOC_Os12g07180,0,0,1
LOC_Os08g10130,1,1,0
LOC_Os12g41230,36,50,38
LOC_Os02g27674,173,159,168
LOC_Os11g37900,116,75,91
LOC_Os09g19570,76,107,80
LOC_Os09g35680,1043,682,1119
LOC_Os08g39270,2,2,8
LOC_Os12g31420,0,0,0
LOC_Os04g56160,21022,15398,16506
LOC_Os06g22540,0,0,0
LOC_Os06g33790,1,0,0
LOC_Os03g58320,0,0,0
LOC_Os11g32859,22,21,16
LOC_Os10g28560,0,3,4
LOC_Os12g34360,0,0,5
LOC_Os03g50240,0,0,0
LOC_Os08g03350,543,157,320
LOC_Os11g04900,2,7,4
LOC_Os03g25980,488,433,449
LOC_Os08g36970,10,6,4
LOC_Os11g17870,11,12,19
LOC_Os01g26020,112,86,103
LOC_Os07g28710,2,0,0
LOC_Os09g36619,89,81,75
LOC_Os12g38260,0,1,0
LOC_Os11g04130,13,14,12
LOC_Os12g16240,214,244,250
LOC_Os06g20354,196,159,198
LOC_Os11g29980,0,1,0
LOC_Os09g20650,275,205,255
LOC_Os05g08380,1,0,0
LOC_Os02g49970,10,28,30
LOC_Os11g28000,0,0,0
LOC_Os02g17080,0,0,0
LOC_Os05g31720,3,0,2
LOC_Os08g43920,6,10,2
LOC_Os02g36320,0,0,1
LOC_Os01g68870,187,109,128
LOC_Os07g04420,0,1,0
LOC_Os05g40770,115,71,120
LOC_Os07g38490,71,71,81
LOC_Os01g71310,315,349,356
LOC_Os03g18080,887,693,683
LOC_Os07g48620,2,4,1
LOC_Os03g50290,5497,4794,5394
LOC_Os05g33600,130,113,153
LOC_Os12g08230,119,90,113
LOC_Os08g37680,0,0,0
LOC_Os01g48550,3,2,2
LOC_Os02g05600,31,35,35
LOC_Os01g21490,4,0,2
LOC_Os03g08210,0,0,1
LOC_Os05g39750,0,0,0
LOC_Os08g42110,267,258,243
LOC_Os06g45670,26,28,28
LOC_Os03g42380,8,3,5
LOC_Os07g05950,230,179,238
LOC_Os06g13320,3,6,8
LOC_Os03g37520,6,1,1
LOC_Os01g40110,158,148,138
LOC_Os03g01670,32,46,23
LOC_Os02g40664,43,63,66
LOC_Os02g55260,180,169,189
LOC_Os10g23250,69,46,61
LOC_Os08g41800,9,13,15
LOC_Os03g08754,575,293,402
LOC_Os01g18130,0,0,1
LOC_Os12g37790,3,0,2
LOC_Os04g47140,119,106,207
LOC_Os03g18010,13,14,7
LOC_Os08g16330,1,2,1
LOC_Os06g35230,0,5,1
LOC_Os07g48550,269,121,281
LOC_Os03g39040,2,2,0
LOC_Os03g04830,6,3,9
LOC_Os08g01040,896,686,656
LOC_Os02g40770,424,316,352
LOC_Os03g51980,1,1,4
LOC_Os01g62430,32,23,23
LOC_Os01g15990,2,2,1
LOC_Os11g03970,14,40,27
LOC_Os03g10350,133,128,180
LOC_Os04g35760,255,241,219
LOC_Os02g32870,1,2,0
LOC_Os07g08040,86,55,81
LOC_Os03g19880,0,0,0
LOC_Os05g44120,0,1,0
LOC_Os10g05790,0,0,0
LOC_Os03g19310,28,28,24
LOC_Os08g09800,5,4,2
LOC_Os04g59440,149,143,157
LOC_Os07g32000,0,0,1
LOC_Os09g36030,297,306,307
LOC_Os06g47600,0,1,0
LOC_Os02g29180,0,0,0
LOC_Os03g31500,0,0,0
LOC_Os10g28630,0,2,1
LOC_Os11g09418,6,4,5
LOC_Os02g46760,0,0,0
LOC_Os07g37630,374,231,323
LOC_Os02g45520,1533,1249,1327
LOC_Os07g05174,29,28,54
LOC_Os06g46030,3,9,3
LOC_Os08g10210,0,0,0
LOC_Os04g52860,106,78,77
LOC_Os01g61320,560,629,551
LOC_Os01g62760,1321,1297,1837
LOC_Os09g01610,11,12,19
LOC_Os04g42950,1,2,2
LOC_Os01g41640,899,742,724
LOC_Os01g01740,52,48,80
LOC_Os02g31140,18,29,32
LOC_Os08g08140,373,279,303
LOC_Os06g08990,1293,1220,1066
LOC_Os05g47730,1,3,2
LOC_Os07g06060,105,67,90
LOC_Os02g13555,4,8,6
LOC_Os01g60920,446,265,382
LOC_Os03g55430,19,32,40
LOC_Os04g23130,6,2,5
LOC_Os09g39670,566,589,480
LOC_Os03g15020,123,85,131
LOC_Os04g32650,2861,2961,2537
LOC_Os05g33210,452,435,476
LOC_Os12g02550,35,214,245
LOC_Os03g28400,320,354,321
LOC_Os10g27230,1913,1445,1778
LOC_Os02g33990,0,0,0
LOC_Os12g03790,1,0,1
LOC_Os06g43880,13,11,13
LOC_Os01g27070,0,0,0
LOC_Os04g40040,690,587,569
LOC_Os05g41820,68,35,69
LOC_Os04g28010,323,256,363
LOC_Os05g50970,409,305,317
LOC_Os08g14230,221,210,182
LOC_Os07g12720,6,4,7
LOC_Os07g13260,127,79,90
LOC_Os02g05960,96,58,75
LOC_Os03g13530,0,1,0
LOC_Os02g17600,2,0,0
LOC_Os07g28600,0,0,0
LOC_Os01g43360,235,210,273
LOC_Os07g38930,39,32,47
LOC_Os06g41650,2,1,0
LOC_Os06g50140,2,7,6
LOC_Os03g18000,2,3,0
ChrSy.fgenesh.mRNA.62,42,24,21
LOC_Os05g30200,2,0,3
LOC_Os11g14380,0,0,0
LOC_Os12g06480,3,8,3
LOC_Os06g42800,29,34,34
LOC_Os02g44040,0,1,1
LOC_Os06g13250,0,0,0
LOC_Os04g03350,0,0,0
LOC_Os11g31620,463,368,513
LOC_Os03g41030,12,9,11
LOC_Os05g40420,705,890,600
LOC_Os01g19730,0,0,1
LOC_Os07g24890,0,0,0
LOC_Os09g39180,8750,12079,10277
LOC_Os04g23300,0,0,0
LOC_Os10g20480,3,1,1
LOC_Os04g31230,0,0,1
LOC_Os09g36230,239,240,210
LOC_Os09g38670,523,382,590
LOC_Os07g46940,3,0,8
LOC_Os06g36050,24,22,33
LOC_Os03g06240,7070,4462,5172
LOC_Os09g36480,440,433,432
LOC_Os01g63810,737,432,702
LOC_Os03g44740,143,81,125
LOC_Os01g50910,0,0,1
LOC_Os05g48630,95672,106964,109486
LOC_Os06g25950,34,19,34
LOC_Os03g31550,1914,1593,1592
LOC_Os06g12620,6,5,10
LOC_Os04g03050,198,251,183
LOC_Os06g10590,0,1,0
LOC_Os02g51660,0,0,0
LOC_Os09g32440,0,1,3
LOC_Os06g36480,16,15,13
LOC_Os07g30590,14,5,12
LOC_Os08g34200,0,0,0
LOC_Os01g02884,1211,1211,1325
LOC_Os09g36790,10,5,6
LOC_Os02g51030,577,420,509
LOC_Os10g19330,0,0,0
LOC_Os10g36190,5,6,5
LOC_Os08g23710,1703,1970,1898
LOC_Os01g64680,488,440,573
LOC_Os02g03490,0,3,1
LOC_Os01g40050,613,463,521
LOC_Os11g06690,266,252,266
LOC_Os02g22084,388,292,382
LOC_Os05g46710,57,49,87
LOC_Os10g06780,2,0,0
LOC_Os06g14350,22,40,39
LOC_Os06g35700,0,3,1
LOC_Os01g52594,140,196,371
LOC_Os01g46300,0,0,0
LOC_Os07g22940,13,6,17
LOC_Os01g54210,0,0,0
LOC_Os02g48290,722,465,664
LOC_Os08g06510,122,88,141
LOC_Os07g39690,75,76,91
LOC_Os11g05100,216,180,188
LOC_Os01g58160,3,9,2
LOC_Os02g49860,2,0,0
LOC_Os09g27410,1,0,1
LOC_Os08g01140,3359,3233,3319
LOC_Os04g20640,0,0,0
LOC_Os12g06160,2,2,0
LOC_Os02g04020,1743,1882,1561
LOC_Os02g57660,6376,6048,5576
LOC_Os12g02160,5,3,1
LOC_Os04g47670,25,32,35
LOC_Os02g35820,858,752,723
LOC_Os08g07850,670,590,628
LOC_Os11g34350,1464,1416,1391
LOC_Os05g33560,0,0,1
LOC_Os03g21880,0,0,2
LOC_Os08g07300,724,503,626
LOC_Os10g18490,47,25,55
LOC_Os10g20510,216,165,199
LOC_Os11g02590,2,3,6
LOC_Os03g32790,5,6,11
LOC_Os06g04100,27,17,21
LOC_Os11g04330,2,9,3
LOC_Os06g14450,144,148,375
LOC_Os05g49750,187,191,161
LOC_Os12g10450,2,0,5
LOC_Os03g15690,394,428,397
LOC_Os04g05870,1,3,0
LOC_Os04g49660,233,304,388
LOC_Os06g46930,1170,1750,1293
LOC_Os07g42800,409,343,391
LOC_Os07g32510,415,454,466
LOC_Os06g17090,1,1,2
LOC_Os07g36950,142,101,143
LOC_Os01g09030,259,264,237
LOC_Os07g39590,873,645,1042
LOC_Os06g48780,793,807,980
LOC_Os04g33810,86,68,128
LOC_Os01g05620,25,18,22
LOC_Os01g57280,432,353,465
LOC_Os06g39744,0,0,0
LOC_Os11g08020,50,44,42
ME_CDS,0,0,1
LOC_Os04g13170,4,2,4
LOC_Os10g34795,955,856,1020
LOC_Os12g10280,46,50,44
LOC_Os04g30700,0,0,0
LOC_Os03g43810,897,503,675
LOC_Os01g53030,4,3,10
LOC_Os09g26900,295,222,298
LOC_Os11g19490,0,2,0
LOC_Os01g63220,427,335,320
LOC_Os04g34580,8,6,4
LOC_Os09g35990,221,256,281
LOC_Os02g07250,468,572,521
LOC_Os04g40530,208,335,360
LOC_Os09g17680,141,103,140
LOC_Os01g11080,0,0,0
LOC_Os01g53570,3,1,2
LOC_Os05g35070,0,1,0
LOC_Os08g20480,0,1,0
LOC_Os02g34850,481,593,482
LOC_Os03g06220,367,349,502
LOC_Os05g14170,1672,1297,1193
LOC_Os03g11780,361,235,343
LOC_Os10g41030,4584,4931,4624
LOC_Os07g44750,3,3,0
LOC_Os11g17600,67,70,52
LOC_Os10g42490,5,7,6
LOC_Os03g11790,534,397,437
LOC_Os05g24550,4639,3453,3833
LOC_Os03g56790,3479,2708,3196
LOC_Os07g31430,18,15,9
ChrUn.fgenesh.mRNA.22,0,0,0
LOC_Os03g37840,982,422,415
LOC_Os07g02790,118,41,98
LOC_Os09g32025,48,25,41
LOC_Os07g41730,584,425,536
LOC_Os01g54380,25,25,25
LOC_Os10g21050,0,1,1
LOC_Os03g61900,293,235,243
LOC_Os02g09240,35,35,23
LOC_Os01g19020,5,11,13
LOC_Os01g02070,8,11,12
LOC_Os06g06390,15,11,10
LOC_Os02g50210,572,505,799
LOC_Os02g13630,41,30,49
LOC_Os10g29750,0,0,0
LOC_Os08g39210,112,70,98
LOC_Os09g34214,379,311,325
LOC_Os08g34650,3,4,6
LOC_Os03g19300,187,144,168
LOC_Os02g53400,657,742,904
LOC_Os10g38834,0,0,0
LOC_Os05g48710,3,1,0
LOC_Os01g41630,885,808,806
LOC_Os03g62920,0,0,1
LOC_Os06g07200,251,114,186
LOC_Os11g01460,36,38,33
LOC_Os07g11000,1102,871,910
LOC_Os03g12490,1,0,0
LOC_Os12g16410,187,227,253
LOC_Os03g54770,233,225,247
LOC_Os09g10710,1326,1038,1186
LOC_Os01g32439,92,53,79
LOC_Os04g27070,0,0,0
LOC_Os02g35630,6867,6841,7409
LOC_Os03g46650,744,598,690
LOC_Os07g07580,662,586,675
LOC_Os04g33830,59915,69077,66967
LOC_Os06g07580,1473,1382,1725
LOC_Os03g41050,1,1,0
LOC_Os06g08220,1,0,0
LOC_Os11g37480,2,3,3
LOC_Os05g10300,0,0,0
LOC_Os04g23180,783,716,746
LOC_Os03g56290,5,3,9
LOC_Os07g01710,88,65,82
LOC_Os01g69260,0,0,0
LOC_Os03g51600,3216,2923,2757
LOC_Os06g37590,0,2,0
LOC_Os05g43760,257,216,267
LOC_Os10g36270,255,203,248
LOC_Os07g34570,51528,58282,67864
LOC_Os03g51760,1,2,1
LOC_Os01g66260,0,0,0
LOC_Os02g02510,1055,792,1005
LOC_Os07g07830,0,0,0
LOC_Os11g31690,6,2,2
LOC_Os02g10794,180,166,159
LOC_Os04g25250,0,0,0
LOC_Os09g17120,118,89,127
LOC_Os07g30469,4,0,2
LOC_Os12g30610,276,227,253
LOC_Os07g01180,1,1,1
LOC_Os03g25990,1,5,1
LOC_Os03g13000,538,669,622
LOC_Os06g27660,3,7,8
LOC_Os06g40160,4,2,1
LOC_Os01g07880,31,25,54
LOC_Os10g39160,1,7,6
LOC_Os04g56740,623,568,620
LOC_Os01g33840,0,0,0
LOC_Os06g48880,5,4,6
LOC_Os08g07500,0,2,3
LOC_Os01g07590,902,745,1075
LOC_Os07g30620,85,58,63
LOC_Os03g24880,111,65,94
LOC_Os07g42890,446,444,514
LOC_Os10g32880,1274,1286,1121
LOC_Os10g11750,2,0,0
LOC_Os09g35890,73,67,92
LOC_Os10g35550,1188,965,1031
LOC_Os02g29720,0,0,0
LOC_Os12g04595,82,80,91
LOC_Os06g32690,3,0,0
LOC_Os04g29740,2,0,0
LOC_Os05g29829,43,37,42
LOC_Os07g34890,0,0,0
LOC_Os03g01550,1,0,2
LOC_Os04g39090,282,229,237
LOC_Os07g36230,63,37,43
LOC_Os03g55030,1707,2150,2297
LOC_Os06g16160,0,1,0
LOC_Os09g23380,214,147,167
LOC_Os05g49890,7398,8793,8568
LOC_Os06g49390,17,14,13
LOC_Os03g45280,31012,25768,28141
LOC_Os04g58370,1,1,3
LOC_Os11g09040,1,0,1
LOC_Os12g16350,5670,4526,5017
LOC_Os05g31110,0,0,0
LOC_Os04g12370,18,0,7
LOC_Os01g12000,6,10,7
LOC_Os02g17590,2,0,1
LOC_Os01g69930,1,1,5
LOC_Os12g03540,165,141,151
LOC_Os06g05000,1,0,0
LOC_Os08g16050,8,4,6
LOC_Os01g19548,72,57,67
LOC_Os04g55570,45,37,40
LOC_Os02g46910,20,37,40
LOC_Os05g45080,579,431,445
LOC_Os03g54820,59,37,52
LOC_Os10g02584,407,433,467
LOC_Os07g06700,110,19,35
LOC_Os01g16510,170,160,202
LOC_Os10g39740,2,1,1
LOC_Os09g08890,10,3,6
LOC_Os03g39170,0,0,0
LOC_Os04g20880,6,5,7
LOC_Os06g07130,419,329,321
LOC_Os06g43910,0,0,0
LOC_Os04g10350,73,71,161
LOC_Os03g25820,0,2,0
LOC_Os03g16874,109,81,100
LOC_Os04g37980,31,22,22
LOC_Os08g21561,313,314,258
LOC_Os02g32380,45,27,36
LOC_Os08g04890,2,1,1
LOC_Os01g36270,0,0,1
LOC_Os03g02160,1424,1121,1540
LOC_Os08g09080,1,0,0
LOC_Os04g14304,147,139,160
LOC_Os02g43830,1540,1619,1585
LOC_Os04g32620,76,38,74
LOC_Os02g17534,256,262,254
LOC_Os02g08500,1087,969,1084
LOC_Os12g28820,1,0,0
LOC_Os03g05330,439,261,327
LOC_Os02g02530,586,484,482
LOC_Os03g19070,5,17,35
LOC_Os05g46650,4,2,1
LOC_Os04g11950,22,9,4
LOC_Os11g43420,1,2,1
LOC_Os05g51710,347,269,286
LOC_Os02g05710,815,568,715
LOC_Os01g07090,2576,2848,2591
LOC_Os02g48200,0,0,0
LOC_Os08g23730,1149,1080,1111
LOC_Os11g08225,1,0,0
LOC_Os03g38470,0,0,0
LOC_Os04g35690,5,3,12
LOC_Os07g02610,0,0,0
LOC_Os06g35050,39,24,44
LOC_Os02g39410,136,180,149
LOC_Os05g13770,247,127,138
LOC_Os01g37810,5,4,4
LOC_Os05g02260,4744,4251,4538
LOC_Os05g14590,0,0,2
LOC_Os01g67360,259,256,380
LOC_Os11g37290,2,1,2
LOC_Os10g35520,393,357,428
LOC_Os03g11550,108,91,158
LOC_Os02g17350,3639,2774,2934
LOC_Os04g47130,64,74,98
LOC_Os11g45060,67,24,23
LOC_Os09g08690,5,13,15
LOC_Os02g51410,1774,1424,1483
LOC_Os07g42910,19,15,24
LOC_Os04g31020,372,312,337
LOC_Os05g27900,0,0,0
LOC_Os06g08720,1830,1017,1441
LOC_Os03g10990,407,377,364
LOC_Os02g53890,58,49,33
LOC_Os09g19710,0,0,0
LOC_Os07g37290,1,0,2
LOC_Os01g08960,229,116,154
LOC_Os03g48020,37,25,21
LOC_Os01g45010,0,1,0
LOC_Os05g45170,0,0,0
LOC_Os11g38370,0,0,0
LOC_Os05g03440,35,22,24
LOC_Os03g58040,301,267,288
LOC_Os02g57980,446,235,314
LOC_Os07g10780,267,280,331
LOC_Os07g03220,3,0,2
LOC_Os09g21100,0,0,0
LOC_Os04g20330,0,5,5
LOC_Os08g24400,391,366,372
LOC_Os12g40930,2,0,1
LOC_Os03g25420,133,115,125
LOC_Os04g54230,2,7,7
LOC_Os10g36590,11,12,22
LOC_Os04g52440,0,0,0
LOC_Os05g08810,967,978,888
LOC_Os02g53720,5,18,11
LOC_Os01g12860,30,22,30
LOC_Os06g04240,3,1,23
LOC_Os02g49560,30,43,30
LOC_Os03g19380,3351,2851,3802
LOC_Os01g52810,599,531,567
LOC_Os02g15500,0,0,2
LOC_Os11g07850,344,239,263
LOC_Os04g41990,173,126,184
LOC_Os09g02805,0,1,1
LOC_Os03g61019,246,231,232
LOC_Os02g38980,2901,2474,3590
LOC_Os02g03710,376,374,448
LOC_Os08g06470,419,354,312
LOC_Os09g37600,0,1,1
LOC_Os07g42994,9,13,9
LOC_Os09g37400,0,2,3
LOC_Os06g20370,18,13,30
LOC_Os10g02509,246,188,190
LOC_Os01g54870,1322,1216,1381
LOC_Os06g10780,0,0,0
LOC_Os02g33120,1,1,1
LOC_Os07g38780,0,1,1
LOC_Os12g04020,270,236,213
LOC_Os10g42560,0,0,0
LOC_Os04g57850,152,77,141
LOC_Os02g32120,1213,993,1068
LOC_Os09g29360,0,2,3
LOC_Os03g11380,85,59,79
LOC_Os04g41980,1,0,5
LOC_Os01g10290,506,443,440
LOC_Os05g51140,1871,1375,1569
LOC_Os03g09980,13,12,10
LOC_Os06g41480,85,52,71
LOC_Os01g56600,997,842,874
LOC_Os03g21270,362,482,577
LOC_Os12g41715,1828,1546,1713
LOC_Os07g04150,0,3,16
LOC_Os03g29170,377,319,280
LOC_Os01g50070,5,22,12
LOC_Os04g28330,0,0,1
LOC_Os05g25780,216,252,252
LOC_Os10g17780,78,45,55
LOC_Os07g31650,168,73,94
LOC_Os01g07810,272,248,239
LOC_Os07g16224,465,409,436
LOC_Os02g36510,10,5,10
LOC_Os03g57660,402,353,456
LOC_Os04g14204,2,2,1
LOC_Os08g13699,38,23,35
LOC_Os03g38790,25,27,26
LOC_Os09g31446,22,13,10
LOC_Os02g17780,298,537,387
LOC_Os02g36380,2367,2195,2166
LOC_Os11g18880,751,638,639
LOC_Os04g35160,0,1,0
LOC_Os01g11414,349,433,452
LOC_Os03g02110,501,433,477
LOC_Os05g05970,0,0,0
LOC_Os01g63580,3,5,8
LOC_Os02g53310,7,4,4
LOC_Os01g14010,0,1,1
LOC_Os12g10000,0,0,0
LOC_Os08g23600,1,0,2
LOC_Os08g18110,1275,1049,1179
LOC_Os06g27670,15,17,8
LOC_Os11g45370,0,0,0
LOC_Os04g56610,21,14,17
LOC_Os02g44080,2,1,0
LOC_Os03g06600,0,2,2
LOC_Os03g63910,509,869,908
LOC_Os05g51510,898,774,1010
LOC_Os01g71100,274,300,251
LOC_Os06g47760,148,114,146
LOC_Os10g18480,11,15,21
LOC_Os11g23930,1,0,1
LOC_Os01g62770,276,302,265
LOC_Os10g21308,102,72,74
LOC_Os04g11440,58,37,54
LOC_Os01g44200,0,0,1
LOC_Os02g18390,50,46,82
LOC_Os01g34080,560,658,617
LOC_Os12g42420,1628,848,955
LOC_Os12g09660,155,101,96
LOC_Os11g09700,14,2,5
LOC_Os07g26610,558,548,567
LOC_Os02g20380,272,204,248
LOC_Os01g21420,790,744,804
LOC_Os11g32460,1,1,3
LOC_Os06g06530,632,518,583
LOC_Os06g49130,170,93,127
LOC_Os01g49310,239,278,367
LOC_Os01g48190,1296,1275,1858
LOC_Os01g65720,225,191,231
LOC_Os05g37520,633,721,1929
LOC_Os01g22870,363,287,340
LOC_Os01g50080,756,1458,1353
LOC_Os03g23980,2040,1780,1762
LOC_Os09g15680,2,3,2
LOC_Os07g18720,1248,1099,1039
LOC_Os08g20400,428,335,404
LOC_Os07g04720,5,4,5
LOC_Os06g27790,221,152,195
LOC_Os01g53230,0,0,0
LOC_Os04g39300,96,8,30
LOC_Os08g39740,65,59,65
LOC_Os04g30880,259,209,264
LOC_Os07g29630,242,199,254
LOC_Os04g15580,80,39,38
LOC_Os01g63790,404,398,294
LOC_Os12g22680,0,0,0
LOC_Os07g23520,1532,1740,1407
LOC_Os05g02580,0,1,0
LOC_Os11g34770,71,67,62
LOC_Os01g32184,321,269,272
LOC_Os06g11910,48,50,58
LOC_Os05g33890,13,16,14
LOC_Os02g06010,216,163,177
LOC_Os08g05290,0,0,0
LOC_Os08g07670,11,3,7
LOC_Os12g42020,0,0,0
LOC_Os03g10320,13,9,22
LOC_Os09g24700,1979,1564,1780
LOC_Os03g01360,3825,2870,3621
LOC_Os02g55430,3126,2493,3620
LOC_Os04g27480,0,0,0
LOC_Os07g30220,311,309,333
LOC_Os09g21360,75,85,76
LOC_Os02g45974,66,53,78
LOC_Os03g37620,0,0,0
LOC_Os03g35380,0,0,0
LOC_Os03g21250,102,97,136
LOC_Os01g47100,36,22,41
LOC_Os10g42620,88,41,63
LOC_Os09g01960,569,554,855
LOC_Os12g39520,20,9,14
LOC_Os06g14580,4,5,6
LOC_Os12g17190,0,0,1
LOC_Os01g74470,541,421,473
LOC_Os07g48680,1,0,2
LOC_Os03g05060,0,1,0
LOC_Os01g41740,4,1,6
LOC_Os03g16660,0,2,1
LOC_Os08g13060,68,65,86
LOC_Os07g24000,0,0,0
LOC_Os05g31690,969,788,1015
LOC_Os08g09970,0,0,0
LOC_Os08g45070,841,667,785
LOC_Os02g40420,9,16,26
LOC_Os05g34280,0,3,2
LOC_Os07g44744,409,256,412
LOC_Os04g48520,304,279,302
LOC_Os03g45230,4,7,16
LOC_Os04g26310,0,0,1
LOC_Os08g41890,10,16,16
LOC_Os09g37360,0,0,0
LOC_Os03g59640,2814,4353,2857
LOC_Os06g46450,381,297,323
LOC_Os01g33160,10,11,8
LOC_Os10g31240,0,0,0
LOC_Os03g41170,68,77,65
LOC_Os10g37640,155,131,184
LOC_Os01g22560,0,0,2
LOC_Os01g40870,670,527,739
LOC_Os01g65500,0,0,1
LOC_Os10g41310,61,68,52
LOC_Os01g60270,157,133,184
LOC_Os02g18250,0,0,1
LOC_Os10g33670,1,0,3
LOC_Os02g04420,460,409,461
LOC_Os01g17020,192,152,197
LOC_Os01g55560,9,14,21
LOC_Os06g43550,375,293,377
LOC_Os11g31590,7,1,3
LOC_Os02g33410,0,0,0
LOC_Os03g44530,64,49,56
LOC_Os07g20340,7,7,5
LOC_Os03g32100,6,2,6
LOC_Os02g15510,9,14,9
LOC_Os07g27310,10,9,8
LOC_Os08g13690,1491,1419,1428
LOC_Os03g53580,10,14,22
LOC_Os12g17890,0,0,1
LOC_Os11g42350,1300,1189,1104
