accession,WT_1,WT_2,WT_3
LOC_Os01g61500,507,407,530
LOC_Os03g31730,1020,923,884
LOC_Os11g34790,2151,1667,1861
LOC_Os06g32770,9,15,7
LOC_Os03g11320,279,233,266
LOC_Os05g15350,18,15,14
LOC_Os01g21300,4,2,1
LOC_Os12g44240,465,304,300
LOC_Os01g07360,3,2,2
LOC_Os12g34990,1295,1342,1072
LOC_Os02g01590,59,42,35
LOC_Os08g09950,1,2,2
LOC_Os07g46520,916,534,450
ChrSy.fgenesh.mRNA.83,27,0,0
LOC_Os05g35140,795,429,493
LOC_Os06g40600,1166,982,991
LOC_Os11g24630,91,60,83
LOC_Os03g11480,633,628,615
LOC_Os08g28784,40,24,47
LOC_Os09g07460,34,50,35
LOC_Os12g25210,239,147,218
LOC_Os08g06640,1046,914,1273
LOC_Os03g35710,0,0,1
LOC_Os10g11260,891,772,736
LOC_Os03g10140,716,567,846
LOC_Os03g30470,1,0,1
LOC_Os03g52450,375,322,358
LOC_Os02g15820,5,2,0
LOC_Os09g16940,4,5,2
LOC_Os01g02930,0,3,1
LOC_Os01g71050,1012,899,869
LOC_Os03g62010,117,64,93
LOC_Os11g40200,214,202,259
LOC_Os02g46320,147,100,114
LOC_Os04g42920,1074,984,1009
LOC_Os04g51860,0,0,0
LOC_Os02g34930,190,143,254
LOC_Os04g12180,0,0,0
LOC_Os02g47110,385,353,432
LOC_Os05g50330,216,213,192
LOC_Os12g18630,1389,1618,1437
LOC_Os04g57310,415,318,407
LOC_Os01g51810,19,8,16
LOC_Os04g42040,5,9,14
LOC_Os01g01030,129,133,117
LOC_Os04g10800,3,1,0
LOC_Os03g31640,1,0,2
LOC_Os09g24412,210,198,233
LOC_Os01g60010,16,11,13
LOC_Os01g19500,0,0,0
LOC_Os10g07290,0,2,0
LOC_Os03g07410,271,255,194
LOC_Os12g37860,2189,1885,2066
LOC_Os08g43400,82,98,82
LOC_Os07g38850,316,635,408
LOC_Os01g06920,6,9,10
LOC_Os06g08920,8,4,10
LOC_Os01g09570,1763,1436,2040
LOC_Os08g31219,691,596,583
LOC_Os03g48320,5,8,6
LOC_Os06g30860,0,0,0
LOC_Os07g05740,12,7,8
LOC_Os09g07350,8,5,4
LOC_Os10g32770,2807,2885,3027
LOC_Os06g46390,32,18,15
LOC_Os03g44460,0,0,0
LOC_Os04g50120,1055,973,1175
LOC_Os06g43430,364,329,373
LOC_Os02g53340,168,124,185
LOC_Os03g12900,481,530,547
LOC_Os03g55200,11,15,10
LOC_Os10g33770,312,234,262
LOC_Os08g28200,58,45,41
LOC_Os01g34630,98,67,65
LOC_Os05g40500,0,0,0
LOC_Os03g58190,53,82,75
LOC_Os08g20610,85,75,87
LOC_Os07g05420,1,1,0
LOC_Os01g46970,109,109,81
LOC_Os03g13300,6,10,16
LOC_Os02g21860,0,0,1
LOC_Os08g32560,16,16,16
LOC_Os01g09190,118,4,17
LOC_Os05g11950,110,95,136
LOC_Os04g42320,1763,1736,1620
LOC_Os05g22718,354,297,431
LOC_Os09g30418,2424,1898,2060
LOC_Os06g49200,53,69,58
LOC_Os03g11670,213,205,231
LOC_Os11g47650,43,35,54
LOC_Os03g63770,5666,4207,4220
LOC_Os06g51230,296,231,339
LOC_Os04g51690,879,668,812
LOC_Os12g35610,0,1,4
LOC_Os01g42190,114,200,422
LOC_Os06g49430,812,700,976
LOC_Os07g01320,523,387,413
ChrUn.fgenesh.mRNA.21,8,0,7
LOC_Os05g12481,42,31,49
LOC_Os01g64690,219,195,243
LOC_Os08g25050,134,116,139
LOC_Os04g17479,4113,4176,4127
LOC_Os02g50460,23,1,11
LOC_Os03g38230,2134,1906,2137
LOC_Os03g04990,712,605,632
LOC_Os03g07070,0,0,0
LOC_Os07g48640,57,48,31
LOC_Os02g45540,640,545,630
LOC_Os01g73080,517,552,456
LOC_Os05g23470,2556,2126,2149
LOC_Os05g31420,0,0,0
LOC_Os07g19550,80,96,57
LOC_Os01g74480,4,0,0
LOC_Os11g20500,13,18,16
LOC_Os03g14100,0,1,3
LOC_Os09g11600,0,0,0
LOC_Os02g49090,1100,897,914
LOC_Os03g64219,640,435,586
LOC_Os01g49020,2,2,0
LOC_Os12g18710,0,1,0
LOC_Os02g56440,127,103,169
LOC_Os12g40560,564,607,606
LOC_Os07g17360,152,123,174
LOC_Os02g46600,152,148,139
LOC_Os02g24720,42,28,31
LOC_Os04g47990,174,168,189
LOC_Os10g36580,17,15,24
LOC_Os09g31220,423,365,362
LOC_Os02g55540,109,72,85
LOC_Os11g47760,15917,10246,10232
LOC_Os03g45619,0,0,0
LOC_Os11g22970,0,0,0
LOC_Os08g18880,0,1,1
LOC_Os11g19840,10,8,7
LOC_Os03g59040,73,97,113
LOC_Os05g18470,166,124,164
LOC_Os07g17900,0,0,0
LOC_Os03g58120,150,141,116
LOC_Os06g07080,4381,3603,4044
LOC_Os02g51050,3,1,2
LOC_Os11g07600,737,461,428
LOC_Os10g29159,15,8,16
LOC_Os10g34350,336,265,259
LOC_Os03g57430,2053,2000,2146
LOC_Os06g14180,5,6,9
LOC_Os01g42490,901,726,883
LOC_Os04g02820,3389,2886,2600
LOC_Os03g27750,0,1,1
LOC_Os01g66490,186,135,143
LOC_Os01g73460,53,42,62
LOC_Os12g23570,1,0,2
LOC_Os07g03140,20,12,14
LOC_Os02g02360,427,406,419
LOC_Os09g35720,52,36,36
LOC_Os07g42200,967,665,863
ChrSy.fgenesh.mRNA.31,0,0,0
LOC_Os03g42760,26,19,16
LOC_Os01g15210,1,3,2
LOC_Os06g43610,412,255,367
LOC_Os09g12840,0,0,1
LOC_Os08g42540,1051,919,1029
LOC_Os06g12800,2,0,2
LOC_Os01g15630,1561,1213,1613
LOC_Os11g03690,12,18,22
LOC_Os03g59264,1081,1108,970
LOC_Os05g06520,0,0,0
LOC_Os09g10650,0,0,0
LOC_Os12g39950,13,7,10
LOC_Os10g01830,16,19,25
LOC_Os12g04070,0,0,0
LOC_Os08g18150,9,7,5
LOC_Os03g39200,1,0,0
LOC_Os03g58900,8,10,5
LOC_Os11g01720,0,1,1
LOC_Os02g22070,221,206,303
LOC_Os12g18140,499,545,489
LOC_Os04g31460,1,1,2
LOC_Os01g13030,796,826,797
LOC_Os03g21040,241,205,222
LOC_Os02g12200,64,52,65
LOC_Os04g53230,11354,16917,13761
LOC_Os12g07940,951,818,952
LOC_Os02g38080,561,511,608
LOC_Os08g06610,179,164,159
LOC_Os10g28200,1163,480,873
LOC_Os01g17070,133,134,145
LOC_Os02g02310,0,0,0
LOC_Os10g36750,2,3,2
LOC_Os03g13130,36,44,44
LOC_Os05g39590,0,1,0
LOC_Os07g43740,60,123,194
LOC_Os11g03430,1,0,1
LOC_Os11g19240,17,7,24
LOC_Os05g30280,19,13,11
LOC_Os09g29610,0,0,1
LOC_Os05g07980,35,15,31
LOC_Os12g38660,340,422,358
LOC_Os11g42500,4,19,25
LOC_Os01g03740,44,48,56
LOC_Os05g49070,82,47,99
LOC_Os04g40070,2,3,3
LOC_Os08g30930,840,696,873
LOC_Os11g44950,4,2,1
LOC_Os05g27180,1,1,1
LOC_Os02g43870,49,64,75
LOC_Os09g28100,806,795,791
LOC_Os01g70920,116,56,93
LOC_Os01g72780,501,422,481
LOC_Os06g12600,1811,2422,2030
LOC_Os04g22440,0,0,1
LOC_Os06g12390,330,315,421
LOC_Os09g39200,760,530,618
LOC_Os01g25189,30,57,38
LOC_Os12g37470,16,0,11
LOC_Os02g09290,0,0,0
LOC_Os02g14180,0,0,0
LOC_Os04g58590,1,0,0
LOC_Os08g01010,0,0,0
LOC_Os11g08080,1100,1048,1075
LOC_Os03g19610,1,0,0
LOC_Os01g25300,12,14,16
LOC_Os03g45270,40,49,40
LOC_Os02g51930,5,1,5
LOC_Os10g42030,79,30,33
LOC_Os12g08270,12,7,8
LOC_Os06g10050,2,2,4
LOC_Os09g28570,896,653,680
LOC_Os02g43920,283,180,263
LOC_Os03g12020,1486,1900,1531
LOC_Os04g15510,1,1,1
LOC_Os03g56180,0,3,0
LOC_Os09g29890,923,718,924
LOC_Os04g20450,0,0,0
LOC_Os01g45750,3883,3206,3586
LOC_Os01g24060,438,414,450
LOC_Os02g22780,862,780,741
LOC_Os08g40080,0,0,0
LOC_Os10g22900,1,0,0
LOC_Os09g34985,54,42,54
LOC_Os03g04610,1204,1213,1456
LOC_Os01g51140,7,4,6
LOC_Os05g37210,2,2,2
LOC_Os01g56470,328,277,314
LOC_Os08g17150,74,32,47
LOC_Os06g28840,1253,1535,1359
LOC_Os12g15520,509,372,375
