met-L_c0,1.0*ACHYSLc_M - 1.0*ACHYSLc_M_reverse_6fada + 2.0*BTNSc_M - 2.0*BTNSc_M_reverse_ae9d4 - 0.0251*Coleoptile_Biomass_M + 0.0251*Coleoptile_Biomass_M_reverse_b2339 + 2.0*HCYSMT2c_M - 2.0*HCYSMT2c_M_reverse_a3b68 + 1.0*HCYSMTc_M - 1.0*HCYSMTc_M_reverse_f0207 - 1.0*MATc_M + 1.0*MATc_M_reverse_c89dc - 1.0*METLc_M + 1.0*METLc_M_reverse_7e5f4 - 1.0*METSMTc_M + 1.0*METSMTc_M_reverse_49751 + 1.0*METSc_M - 1.0*METSc_M_reverse_d05ed - 1.0*METTLc_M + 1.0*METTLc_M_reverse_108bc + 1.0*METt2m_M - 1.0*METt2m_M_reverse_72292 + 1.0*METtex_M - 1.0*METtex_M_reverse_d3e34 + 1.0*METts_M - 1.0*METts_M_reverse_a3309 + 1.0*MOTAc_M - 1.0*MOTAc_M_reverse_e2c67 + 1.0*MSc_M - 1.0*MSc_M_reverse_4e28f - 0.0076*Straw_Biomass_M + 0.0076*Straw_Biomass_M_reverse_753fb - 1.0*met-L_pd + 1.0*met-L_pd_reverse_66754
phe-L_c0,-0.041*Coleoptile_Biomass_M + 0.041*Coleoptile_Biomass_M_reverse_b2339 - 0.0043*DM_Phloem_M + 0.0043*DM_Phloem_M_reverse_02f43 - 1.0*PHENH4Lc_M + 1.0*PHENH4Lc_M_reverse_e3d6f - 1.0*PHETAc_M + 1.0*PHETAc_M_reverse_7d41e - 1.0*PHETLc_M + 1.0*PHETLc_M_reverse_355c5 + 1.0*PHEt2m_M - 1.0*PHEt2m_M_reverse_224b4 + 1.0*PHEtex_M - 1.0*PHEtex_M_reverse_777e4 - 1.0*PHEts_M + 1.0*PHEts_M_reverse_dd6a3 - 0.0133*Straw_Biomass_M + 0.0133*Straw_Biomass_M_reverse_753fb - 1.0*phe-L_pd + 1.0*phe-L_pd_reverse_51db8
pro-L_c0,-0.0638*Coleoptile_Biomass_M + 0.0638*Coleoptile_Biomass_M_reverse_b2339 - 0.0129*DM_Phloem_M + 0.0129*DM_Phloem_M_reverse_02f43 + 1.0*P5CRc_M - 1.0*P5CRc_M_reverse_104a3 + 1.0*P5CRyc_M - 1.0*P5CRyc_M_reverse_c4874 - 1.0*PROTLc_M + 1.0*PROTLc_M_reverse_c161e + 1.0*PROt2m_M - 1.0*PROt2m_M_reverse_32cd1 + 1.0*PROtex_M - 1.0*PROtex_M_reverse_0eab7 + 1.0*PROts_M - 1.0*PROts_M_reverse_5bbf5 - 0.0225*Straw_Biomass_M + 0.0225*Straw_Biomass_M_reverse_753fb - 1.0*pro-L_pd + 1.0*pro-L_pd_reverse_7ebdd
ser-L_c0,-0.0699*Coleoptile_Biomass_M + 0.0699*Coleoptile_Biomass_M_reverse_b2339 - 0.116*DM_Phloem_M + 0.116*DM_Phloem_M_reverse_02f43 - 1.0*SATc_M + 1.0*SATc_M_reverse_f8e8e - 1.0*SECYSTLc_M + 1.0*SECYSTLc_M_reverse_5f1dd - 1.0*SERTLc_M + 1.0*SERTLc_M_reverse_df234 + 1.0*SERtex_M - 1.0*SERtex_M_reverse_d0591 + 1.0*SERtm_M - 1.0*SERtm_M_reverse_02bd3 - 1.0*SERtr_M + 1.0*SERtr_M_reverse_9bc3e - 1.0*SERts_M + 1.0*SERts_M_reverse_f384f - 1.0*SERtx_M + 1.0*SERtx_M_reverse_4ab70 - 0.0219*Straw_Biomass_M + 0.0219*Straw_Biomass_M_reverse_753fb - 1.0*ser-L_pd + 1.0*ser-L_pd_reverse_ce761
thr-L_c0,-0.0478*Coleoptile_Biomass_M + 0.0478*Coleoptile_Biomass_M_reverse_b2339 - 0.044*DM_Phloem_M + 0.044*DM_Phloem_M_reverse_02f43 - 0.0192*Straw_Biomass_M + 0.0192*Straw_Biomass_M_reverse_753fb - 1.0*TALc_M + 1.0*TALc_M_reverse_882c3 - 1.0*THRAc_M + 1.0*THRAc_M_reverse_17c3d - 1.0*THRTLc_M + 1.0*THRTLc_M_reverse_25dd1 + 1.0*THRt2m_M - 1.0*THRt2m_M_reverse_9922c + 1.0*THRtex_M - 1.0*THRtex_M_reverse_e2861 - 1.0*THRts_M + 1.0*THRts_M_reverse_3b5cc - 1.0*THRtx_M + 1.0*THRtx_M_reverse_5f298 - 1.0*thr-L_pd + 1.0*thr-L_pd_reverse_87215
trp-L_c0,-1.0*ALAADc_M + 1.0*ALAADc_M_reverse_72502 - 0.012*Coleoptile_Biomass_M + 0.012*Coleoptile_Biomass_M_reverse_b2339 - 0.0016*Straw_Biomass_M + 0.0016*Straw_Biomass_M_reverse_753fb - 1.0*TRP2MOc_M + 1.0*TRP2MOc_M_reverse_14acc - 1.0*TRPMOc_M + 1.0*TRPMOc_M_reverse_13ead - 1.0*TRPTAc_M + 1.0*TRPTAc_M_reverse_e0a5a - 1.0*TRPTLc_M + 1.0*TRPTLc_M_reverse_5fcfc + 1.0*TRPt2m_M - 1.0*TRPt2m_M_reverse_8f89b + 1.0*TRPtex_M - 1.0*TRPtex_M_reverse_8e52c - 1.0*TRPts_M + 1.0*TRPts_M_reverse_d6171 - 1.0*trp-L_pd + 1.0*trp-L_pd_reverse_1a12d
tyr-L_c0,-0.0386*Coleoptile_Biomass_M + 0.0386*Coleoptile_Biomass_M_reverse_b2339 - 0.00539*DM_Phloem_M + 0.00539*DM_Phloem_M_reverse_02f43 - 0.0077*Straw_Biomass_M + 0.0077*Straw_Biomass_M_reverse_753fb - 1.0*TYRDCc_M + 1.0*TYRDCc_M_reverse_82a81 - 1.0*TYRMOc_M + 1.0*TYRMOc_M_reverse_69e12 - 1.0*TYRNH4Lc_M + 1.0*TYRNH4Lc_M_reverse_bab00 - 1.0*TYRTAc_M + 1.0*TYRTAc_M_reverse_fb7aa - 1.0*TYRTLc_M + 1.0*TYRTLc_M_reverse_cdb01 + 1.0*TYRt2m_M - 1.0*TYRt2m_M_reverse_c66c8 + 1.0*TYRtex_M - 1.0*TYRtex_M_reverse_6cbd7 - 1.0*TYRts_M + 1.0*TYRts_M_reverse_1fa24 - 1.0*tyr-L_pd + 1.0*tyr-L_pd_reverse_1bc66
val-L_c0,-0.075*Coleoptile_Biomass_M + 0.075*Coleoptile_Biomass_M_reverse_b2339 - 0.0432*DM_Phloem_M + 0.0432*DM_Phloem_M_reverse_02f43 - 1.0*JASVSc_M + 1.0*JASVSc_M_reverse_509a3 - 0.0225*Straw_Biomass_M + 0.0225*Straw_Biomass_M_reverse_753fb + 1.0*VALt2m_M - 1.0*VALt2m_M_reverse_6bf0c + 1.0*VALtex_M - 1.0*VALtex_M_reverse_16af9 - 1.0*VALts_M + 1.0*VALts_M_reverse_7b3bf - 1.0*val-L_pd + 1.0*val-L_pd_reverse_66f68
glc-A_c0,-1.0*ADE1c_M + 1.0*ADE1c_M_reverse_69514 - 0.026*Coleoptile_Biomass_M + 0.026*Coleoptile_Biomass_M_reverse_b2339 + 1.0*GLCAtv_M - 1.0*GLCAtv_M_reverse_f6c2d + 2.0*GLCNGAc_M - 2.0*GLCNGAc_M_reverse_d7b98 + 1.0*GLCtex_M - 1.0*GLCtex_M_reverse_03737 - 1.0*GLUKAc_M + 1.0*GLUKAc_M_reverse_0e4a3 + 1.0*INVc_M - 1.0*INVc_M_reverse_acef9 + 1.0*MG1Ac_M - 1.0*MG1Ac_M_reverse_d2652 + 1.0*MG2Ac_M - 1.0*MG2Ac_M_reverse_040be + 1.0*MG3Ac_M - 1.0*MG3Ac_M_reverse_4dbb3 + 1.0*MGHAc_M - 1.0*MGHAc_M_reverse_623ae - 0.0546*Straw_Biomass_M + 0.0546*Straw_Biomass_M_reverse_753fb - 1.0*XYL2c_M + 1.0*XYL2c_M_reverse_a2995 - 1.0*glc-A_pd + 1.0*glc-A_pd_reverse_21f8e
sucr_c0,-0.5243*Coleoptile_Biomass_M + 0.5243*Coleoptile_Biomass_M_reverse_b2339 - 0.618*DM_Phloem_M + 0.618*DM_Phloem_M_reverse_02f43 + 1.0*FFFTc_M - 1.0*FFFTc_M_reverse_92071 + 1.0*FRCEXHc_M - 1.0*FRCEXHc_M_reverse_8e91a - 1.0*INVc_M + 1.0*INVc_M_reverse_acef9 - 1.0*LEVSc_M + 1.0*LEVSc_M_reverse_becc0 - 1.0*RAFFINSc_M + 1.0*RAFFINSc_M_reverse_17d8c + 1.0*RGHc_M - 1.0*RGHc_M_reverse_303e4 - 2.0*SFFTc_M + 2.0*SFFTc_M_reverse_3e07c + 1.0*SPPc_M - 1.0*SPPc_M_reverse_2ac63 - 2.0*SSFTc_M + 2.0*SSFTc_M_reverse_c486c + 1.0*SUCRtex_M - 1.0*SUCRtex_M_reverse_743fc - 1.0*SUCRtv_M + 1.0*SUCRtv_M_reverse_69fec + 1.0*SUSc_M - 1.0*SUSc_M_reverse_1e080 - 0.1049*Straw_Biomass_M + 0.1049*Straw_Biomass_M_reverse_753fb - 1.0*sucr_pd + 1.0*sucr_pd_reverse_71bbf
